Schema,Table,Column,Action,SQL Statement
escdb-580,qrtz_simprop_triggers,SCHED_NAME,ALTER COLUMN,ALTER TABLE qrtz_simprop_triggers MODIFY COLUMN SCHED_NAME varchar(120) COMMENT 'sched名称';
escdb-580,qrtz_simprop_triggers,STR_PROP_1,ALTER COLUMN,ALTER TABLE qrtz_simprop_triggers MODIFY COLUMN STR_PROP_1 varchar(512) COMMENT 'str道具';
escdb-580,qrtz_simprop_triggers,STR_PROP_2,ALTER COLUMN,ALTER TABLE qrtz_simprop_triggers MODIFY COLUMN STR_PROP_2 varchar(512) COMMENT 'str道具';
escdb-580,qrtz_simprop_triggers,STR_PROP_3,ALTER COLUMN,ALTER TABLE qrtz_simprop_triggers MODIFY COLUMN STR_PROP_3 varchar(512) COMMENT 'str道具';
escdb-580,qrtz_simprop_triggers,TRIGGER_GROUP,ALTER COLUMN,ALTER TABLE qrtz_simprop_triggers MODIFY COLUMN TRIGGER_GROUP varchar(200) COMMENT '触发器组';
escdb-580,qrtz_simprop_triggers,TRIGGER_NAME,ALTER COLUMN,ALTER TABLE qrtz_simprop_triggers MODIFY COLUMN TRIGGER_NAME varchar(200) COMMENT '触发器名称';
escdb-580,qrtz_triggers,CALENDAR_NAME,ALTER COLUMN,ALTER TABLE qrtz_triggers MODIFY COLUMN CALENDAR_NAME varchar(200) COMMENT '日历名称';
escdb-580,qrtz_triggers,DESCRIPTION,ALTER COLUMN,ALTER TABLE qrtz_triggers MODIFY COLUMN DESCRIPTION varchar(250) COMMENT '描述';
escdb-580,qrtz_triggers,END_TIME,ALTER COLUMN,ALTER TABLE qrtz_triggers MODIFY COLUMN END_TIME bigint(13) COMMENT '结束时间';
escdb-580,qrtz_triggers,JOB_DATA,ALTER COLUMN,ALTER TABLE qrtz_triggers MODIFY COLUMN JOB_DATA blob COMMENT '作业数据';
escdb-580,qrtz_triggers,JOB_GROUP,ALTER COLUMN,ALTER TABLE qrtz_triggers MODIFY COLUMN JOB_GROUP varchar(200) COMMENT '作业组';
escdb-580,qrtz_triggers,MISFIRE_INSTR,ALTER COLUMN,ALTER TABLE qrtz_triggers MODIFY COLUMN MISFIRE_INSTR smallint(2) COMMENT '失火指示器';
escdb-580,qrtz_triggers,NEXT_FIRE_TIME,ALTER COLUMN,ALTER TABLE qrtz_triggers MODIFY COLUMN NEXT_FIRE_TIME bigint(13) COMMENT '下次开火时间';
escdb-580,qrtz_triggers,PREV_FIRE_TIME,ALTER COLUMN,ALTER TABLE qrtz_triggers MODIFY COLUMN PREV_FIRE_TIME bigint(13) COMMENT '前火灾时间';
escdb-580,qrtz_triggers,PRIORITY,ALTER COLUMN,ALTER TABLE qrtz_triggers MODIFY COLUMN PRIORITY int(11) COMMENT '优先事项';
escdb-580,qrtz_triggers,SCHED_NAME,ALTER COLUMN,ALTER TABLE qrtz_triggers MODIFY COLUMN SCHED_NAME varchar(120) COMMENT 'sched名称';
escdb-580,qrtz_triggers,START_TIME,ALTER COLUMN,ALTER TABLE qrtz_triggers MODIFY COLUMN START_TIME bigint(13) COMMENT '开始时间';
escdb-580,qrtz_triggers,TRIGGER_GROUP,ALTER COLUMN,ALTER TABLE qrtz_triggers MODIFY COLUMN TRIGGER_GROUP varchar(200) COMMENT '触发器组';
escdb-580,qrtz_triggers,TRIGGER_STATE,ALTER COLUMN,ALTER TABLE qrtz_triggers MODIFY COLUMN TRIGGER_STATE varchar(16) COMMENT '触发状态';
escdb-580,qrtz_triggers,TRIGGER_TYPE,ALTER COLUMN,ALTER TABLE qrtz_triggers MODIFY COLUMN TRIGGER_TYPE varchar(8) COMMENT '触发器类型';
