Schema,Table,Column,Action,SQL Statement
escdb-600,audit_ad_pwd_reverse_sync,http_req,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN http_req longtext COMMENT 'http请求';
escdb-600,audit_ad_pwd_reverse_sync,log_id,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN log_id varchar(36) COMMENT '日志id';
escdb-600,audit_ad_pwd_reverse_sync,module,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN module varchar(255) COMMENT '单元';
escdb-600,audit_ad_pwd_reverse_sync,password,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN password varchar(1000) COMMENT '暗语';
escdb-600,audit_ad_pwd_reverse_sync,rel_obj_name,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN rel_obj_name varchar(100) COMMENT 'rel-obj名称';
escdb-600,audit_ad_pwd_reverse_sync,remark,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN remark longtext COMMENT '评论';
escdb-600,audit_ad_pwd_reverse_sync,remark_en,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN remark_en longtext COMMENT '备注en';
escdb-600,audit_ad_pwd_reverse_sync,remark_zh,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN remark_zh longtext COMMENT '备注zh';
escdb-600,audit_ad_pwd_reverse_sync,s_ip,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN s_ip varchar(50) COMMENT 's ip';
escdb-600,audit_ad_pwd_reverse_sync,tag,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN tag varchar(100) COMMENT '标签';
escdb-600,audit_ad_pwd_reverse_sync,time,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN time bigint(20) COMMENT '时间';
escdb-600,audit_ad_pwd_reverse_sync,user_id,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN user_id bigint(20) COMMENT '用户id';
escdb-600,audit_ad_pwd_reverse_sync,user_name,ALTER COLUMN,ALTER TABLE audit_ad_pwd_reverse_sync MODIFY COLUMN user_name varchar(255) COMMENT '用户名';
escdb-600,audit_app,action,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN action varchar(255) COMMENT '行动';
escdb-600,audit_app,app_id,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN app_id bigint(20) COMMENT '应用程序id';
escdb-600,audit_app,app_version,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN app_version varchar(50) COMMENT '应用程序版本';
escdb-600,audit_app,code,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN code varchar(255) COMMENT '密码';
escdb-600,audit_app,c_ip,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN c_ip varchar(50) COMMENT 'c ip';
escdb-600,audit_app,geo_city,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN geo_city varchar(255) COMMENT '地理城市';
escdb-600,audit_app,geo_country_long,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN geo_country_long varchar(255) COMMENT '地理国家长期';
escdb-600,audit_app,geo_latitude,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN geo_latitude float COMMENT '地理纬度';
escdb-600,audit_app,geo_longitude,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN geo_longitude float COMMENT '地理经度';
escdb-600,audit_app,geo_region,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN geo_region varchar(255) COMMENT '地理区域';
escdb-600,audit_app,http_req,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN http_req longtext COMMENT 'http请求';
escdb-600,audit_app,log_id,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN log_id varchar(36) COMMENT '日志id';
escdb-600,audit_app,module,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN module varchar(255) COMMENT '单元';
escdb-600,audit_app,name,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN name varchar(255) COMMENT '名称';
escdb-600,audit_app,operator,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN operator varchar(255) COMMENT '操作人员';
escdb-600,audit_app,rel_obj_name,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN rel_obj_name varchar(100) COMMENT 'rel-obj名称';
escdb-600,audit_app,remark,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN remark longtext COMMENT '评论';
escdb-600,audit_app,remark_en,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN remark_en longtext COMMENT '备注en';
escdb-600,audit_app,remark_zh,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN remark_zh longtext COMMENT '备注zh';
escdb-600,audit_app,s_ip,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN s_ip varchar(50) COMMENT 's ip';
escdb-600,audit_app,tag,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN tag varchar(100) COMMENT '标签';
escdb-600,audit_app,time,ALTER COLUMN,ALTER TABLE audit_app MODIFY COLUMN time bigint(20) COMMENT '时间';
escdb-600,audit_cal_field,format_out_str,ALTER COLUMN,ALTER TABLE audit_cal_field MODIFY COLUMN format_out_str varchar(32) COMMENT '格式化str';
escdb-600,audit_cal_task_exe,id,ALTER COLUMN,ALTER TABLE audit_cal_task_exe MODIFY COLUMN id bigint(20) COMMENT 'id';
escdb-600,audit_clean_task_item,id,ALTER COLUMN,ALTER TABLE audit_clean_task_item MODIFY COLUMN id bigint(20) COMMENT 'id';
escdb-600,audit_clean_task_table,connect_id,ALTER COLUMN,ALTER TABLE audit_clean_task_table MODIFY COLUMN connect_id bigint(20) COMMENT '连接id';
escdb-600,audit_clean_task_table,id,ALTER COLUMN,ALTER TABLE audit_clean_task_table MODIFY COLUMN id bigint(20) COMMENT 'id';
escdb-600,audit_clean_task,id,ALTER COLUMN,ALTER TABLE audit_clean_task MODIFY COLUMN id bigint(20) COMMENT 'id';
escdb-600,audit_connect_config,id,ALTER COLUMN,ALTER TABLE audit_connect_config MODIFY COLUMN id bigint(20) COMMENT 'id';
escdb-600,audit_enum_config,id,ALTER COLUMN,ALTER TABLE audit_enum_config MODIFY COLUMN id bigint(20) COMMENT 'id';
escdb-600,audit_job,action,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN action varchar(255) COMMENT '行动';
escdb-600,audit_job,app_version,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN app_version varchar(50) COMMENT '应用程序版本';
escdb-600,audit_job,code,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN code varchar(255) COMMENT '密码';
escdb-600,audit_job,c_ip,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN c_ip varchar(50) COMMENT 'c ip';
escdb-600,audit_job,geo_city,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN geo_city varchar(255) COMMENT '地理城市';
escdb-600,audit_job,geo_country_long,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN geo_country_long varchar(255) COMMENT '地理国家长期';
escdb-600,audit_job,geo_latitude,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN geo_latitude float COMMENT '地理纬度';
escdb-600,audit_job,geo_longitude,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN geo_longitude float COMMENT '地理经度';
escdb-600,audit_job,geo_region,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN geo_region varchar(255) COMMENT '地理区域';
escdb-600,audit_job,http_req,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN http_req longtext COMMENT 'http请求';
escdb-600,audit_job,job_id,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN job_id bigint(20) COMMENT '作业id';
escdb-600,audit_job,log_id,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN log_id varchar(36) COMMENT '日志id';
escdb-600,audit_job,module,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN module varchar(255) COMMENT '单元';
escdb-600,audit_job,name,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN name varchar(255) COMMENT '名称';
escdb-600,audit_job,operator,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN operator varchar(255) COMMENT '操作人员';
escdb-600,audit_job,rel_obj_name,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN rel_obj_name varchar(100) COMMENT 'rel-obj名称';
escdb-600,audit_job,remark,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN remark longtext COMMENT '评论';
escdb-600,audit_job,remark_en,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN remark_en longtext COMMENT '备注en';
escdb-600,audit_job,remark_zh,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN remark_zh longtext COMMENT '备注zh';
escdb-600,audit_job,s_ip,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN s_ip varchar(50) COMMENT 's ip';
escdb-600,audit_job,tag,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN tag varchar(100) COMMENT '标签';
escdb-600,audit_job,time,ALTER COLUMN,ALTER TABLE audit_job MODIFY COLUMN time bigint(20) COMMENT '时间';
escdb-600,audit_list_config,id,ALTER COLUMN,ALTER TABLE audit_list_config MODIFY COLUMN id bigint(20) COMMENT 'id';
escdb-600,audit_mapping_config_sub,id,ALTER COLUMN,ALTER TABLE audit_mapping_config_sub MODIFY COLUMN id bigint(20) COMMENT 'id';
escdb-600,audit_mapping_config,id,ALTER COLUMN,ALTER TABLE audit_mapping_config MODIFY COLUMN id bigint(20) COMMENT 'id';
escdb-600,audit_mapping_datasource,id,ALTER COLUMN,ALTER TABLE audit_mapping_datasource MODIFY COLUMN id bigint(20) COMMENT 'id';
escdb-600,audit_notify,app_version,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN app_version varchar(50) COMMENT '应用程序版本';
escdb-600,audit_notify,code,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN code varchar(255) COMMENT '密码';
escdb-600,audit_notify,c_ip,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN c_ip varchar(50) COMMENT 'c ip';
escdb-600,audit_notify,fun_code,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN fun_code varchar(255) COMMENT '趣味代码';
escdb-600,audit_notify,geo_city,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN geo_city varchar(255) COMMENT '地理城市';
escdb-600,audit_notify,geo_country_long,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN geo_country_long varchar(255) COMMENT '地理国家长期';
escdb-600,audit_notify,geo_latitude,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN geo_latitude float COMMENT '地理纬度';
escdb-600,audit_notify,geo_longitude,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN geo_longitude float COMMENT '地理经度';
escdb-600,audit_notify,geo_region,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN geo_region varchar(255) COMMENT '地理区域';
escdb-600,audit_notify,http_req,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN http_req longtext COMMENT 'http请求';
escdb-600,audit_notify,log_id,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN log_id varchar(36) COMMENT '日志id';
escdb-600,audit_notify,module,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN module varchar(255) COMMENT '单元';
escdb-600,audit_notify,notify_method,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN notify_method varchar(255) COMMENT '通知方法';
escdb-600,audit_notify,notify_mode,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN notify_mode varchar(255) COMMENT '通知模式';
escdb-600,audit_notify,notify_num,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN notify_num varchar(255) COMMENT '通知num';
escdb-600,audit_notify,operator,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN operator varchar(255) COMMENT '操作人员';
escdb-600,audit_notify,rel_obj_name,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN rel_obj_name varchar(100) COMMENT 'rel-obj名称';
escdb-600,audit_notify,remark_en,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN remark_en longtext COMMENT '备注en';
escdb-600,audit_notify,remark_zh,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN remark_zh longtext COMMENT '备注zh';
escdb-600,audit_notify,s_ip,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN s_ip varchar(50) COMMENT 's ip';
escdb-600,audit_notify,tag,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN tag varchar(100) COMMENT '标签';
escdb-600,audit_notify,time,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN time bigint(20) COMMENT '时间';
escdb-600,audit_notify,user_name,ALTER COLUMN,ALTER TABLE audit_notify MODIFY COLUMN user_name varchar(255) COMMENT '用户名';
escdb-600,audit_org,action,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN action varchar(255) COMMENT '行动';
escdb-600,audit_org,app_version,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN app_version varchar(50) COMMENT '应用程序版本';
escdb-600,audit_org,c_ip,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN c_ip varchar(50) COMMENT 'c ip';
escdb-600,audit_org,geo_city,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN geo_city varchar(255) COMMENT '地理城市';
escdb-600,audit_org,geo_country_long,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN geo_country_long varchar(255) COMMENT '地理国家长期';
escdb-600,audit_org,geo_latitude,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN geo_latitude float COMMENT '地理纬度';
escdb-600,audit_org,geo_longitude,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN geo_longitude float COMMENT '地理经度';
escdb-600,audit_org,geo_region,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN geo_region varchar(255) COMMENT '地理区域';
escdb-600,audit_org,http_req,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN http_req longtext COMMENT 'http请求';
escdb-600,audit_org,log_id,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN log_id varchar(36) COMMENT '日志id';
escdb-600,audit_org,module,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN module varchar(255) COMMENT '单元';
escdb-600,audit_org,name,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN name varchar(255) COMMENT '名称';
escdb-600,audit_org,operator,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN operator varchar(255) COMMENT '操作人员';
escdb-600,audit_org,org_code,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN org_code varchar(255) COMMENT '机构代码';
escdb-600,audit_org,org_id,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN org_id bigint(20) COMMENT '组织id';
escdb-600,audit_org,rel_obj_name,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN rel_obj_name varchar(100) COMMENT 'rel-obj名称';
escdb-600,audit_org,remark,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN remark longtext COMMENT '评论';
escdb-600,audit_org,remark_en,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN remark_en longtext COMMENT '备注en';
escdb-600,audit_org,remark_zh,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN remark_zh longtext COMMENT '备注zh';
escdb-600,audit_org,s_ip,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN s_ip varchar(50) COMMENT 's ip';
escdb-600,audit_org,tag,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN tag varchar(100) COMMENT '标签';
escdb-600,audit_org,time,ALTER COLUMN,ALTER TABLE audit_org MODIFY COLUMN time bigint(20) COMMENT '时间';
escdb-600,audit_qrtz_blob_triggers,BLOB_DATA,ALTER COLUMN,ALTER TABLE audit_qrtz_blob_triggers MODIFY COLUMN BLOB_DATA blob COMMENT 'blob数据';
escdb-600,audit_qrtz_blob_triggers,SCHED_NAME,ALTER COLUMN,ALTER TABLE audit_qrtz_blob_triggers MODIFY COLUMN SCHED_NAME varchar(120) COMMENT 'sched名称';
escdb-600,audit_qrtz_blob_triggers,TRIGGER_GROUP,ALTER COLUMN,ALTER TABLE audit_qrtz_blob_triggers MODIFY COLUMN TRIGGER_GROUP varchar(190) COMMENT '触发器组';
escdb-600,audit_qrtz_blob_triggers,TRIGGER_NAME,ALTER COLUMN,ALTER TABLE audit_qrtz_blob_triggers MODIFY COLUMN TRIGGER_NAME varchar(190) COMMENT '触发器名称';
escdb-600,audit_qrtz_calendars,CALENDAR,ALTER COLUMN,ALTER TABLE audit_qrtz_calendars MODIFY COLUMN CALENDAR blob COMMENT '日历';
escdb-600,audit_qrtz_calendars,CALENDAR_NAME,ALTER COLUMN,ALTER TABLE audit_qrtz_calendars MODIFY COLUMN CALENDAR_NAME varchar(190) COMMENT '日历名称';
escdb-600,audit_qrtz_calendars,SCHED_NAME,ALTER COLUMN,ALTER TABLE audit_qrtz_calendars MODIFY COLUMN SCHED_NAME varchar(120) COMMENT 'sched名称';
escdb-600,audit_qrtz_cron_triggers,CRON_EXPRESSION,ALTER COLUMN,ALTER TABLE audit_qrtz_cron_triggers MODIFY COLUMN CRON_EXPRESSION varchar(120) COMMENT 'cron表达式';
escdb-600,audit_qrtz_cron_triggers,SCHED_NAME,ALTER COLUMN,ALTER TABLE audit_qrtz_cron_triggers MODIFY COLUMN SCHED_NAME varchar(120) COMMENT 'sched名称';
escdb-600,audit_qrtz_cron_triggers,TIME_ZONE_ID,ALTER COLUMN,ALTER TABLE audit_qrtz_cron_triggers MODIFY COLUMN TIME_ZONE_ID varchar(80) COMMENT '时区id';
escdb-600,audit_qrtz_cron_triggers,TRIGGER_GROUP,ALTER COLUMN,ALTER TABLE audit_qrtz_cron_triggers MODIFY COLUMN TRIGGER_GROUP varchar(190) COMMENT '触发器组';
escdb-600,audit_qrtz_cron_triggers,TRIGGER_NAME,ALTER COLUMN,ALTER TABLE audit_qrtz_cron_triggers MODIFY COLUMN TRIGGER_NAME varchar(190) COMMENT '触发器名称';
escdb-600,audit_qrtz_fired_triggers,ENTRY_ID,ALTER COLUMN,ALTER TABLE audit_qrtz_fired_triggers MODIFY COLUMN ENTRY_ID varchar(95) COMMENT '条目id';
escdb-600,audit_qrtz_fired_triggers,FIRED_TIME,ALTER COLUMN,ALTER TABLE audit_qrtz_fired_triggers MODIFY COLUMN FIRED_TIME bigint(13) COMMENT '点火时间';
escdb-600,audit_qrtz_fired_triggers,INSTANCE_NAME,ALTER COLUMN,ALTER TABLE audit_qrtz_fired_triggers MODIFY COLUMN INSTANCE_NAME varchar(190) COMMENT '实例名称';
escdb-600,audit_qrtz_fired_triggers,IS_NONCONCURRENT,ALTER COLUMN,ALTER TABLE audit_qrtz_fired_triggers MODIFY COLUMN IS_NONCONCURRENT varchar(1) COMMENT '是非电流';
escdb-600,audit_qrtz_fired_triggers,JOB_GROUP,ALTER COLUMN,ALTER TABLE audit_qrtz_fired_triggers MODIFY COLUMN JOB_GROUP varchar(190) COMMENT '作业组';
escdb-600,audit_qrtz_fired_triggers,JOB_NAME,ALTER COLUMN,ALTER TABLE audit_qrtz_fired_triggers MODIFY COLUMN JOB_NAME varchar(190) COMMENT '作业名称';
escdb-600,audit_qrtz_fired_triggers,PRIORITY,ALTER COLUMN,ALTER TABLE audit_qrtz_fired_triggers MODIFY COLUMN PRIORITY int(11) COMMENT '优先事项';
escdb-600,audit_qrtz_fired_triggers,REQUESTS_RECOVERY,ALTER COLUMN,ALTER TABLE audit_qrtz_fired_triggers MODIFY COLUMN REQUESTS_RECOVERY varchar(1) COMMENT '请求恢复';
escdb-600,audit_qrtz_fired_triggers,SCHED_NAME,ALTER COLUMN,ALTER TABLE audit_qrtz_fired_triggers MODIFY COLUMN SCHED_NAME varchar(120) COMMENT 'sched名称';
escdb-600,audit_qrtz_fired_triggers,SCHED_TIME,ALTER COLUMN,ALTER TABLE audit_qrtz_fired_triggers MODIFY COLUMN SCHED_TIME bigint(13) COMMENT '计划时间';
escdb-600,audit_qrtz_fired_triggers,STATE,ALTER COLUMN,ALTER TABLE audit_qrtz_fired_triggers MODIFY COLUMN STATE varchar(16) COMMENT '状态';
escdb-600,audit_qrtz_fired_triggers,TRIGGER_GROUP,ALTER COLUMN,ALTER TABLE audit_qrtz_fired_triggers MODIFY COLUMN TRIGGER_GROUP varchar(190) COMMENT '触发器组';
escdb-600,audit_qrtz_fired_triggers,TRIGGER_NAME,ALTER COLUMN,ALTER TABLE audit_qrtz_fired_triggers MODIFY COLUMN TRIGGER_NAME varchar(190) COMMENT '触发器名称';
escdb-600,audit_qrtz_job_details,DESCRIPTION,ALTER COLUMN,ALTER TABLE audit_qrtz_job_details MODIFY COLUMN DESCRIPTION varchar(250) COMMENT '描述';
escdb-600,audit_qrtz_job_details,IS_DURABLE,ALTER COLUMN,ALTER TABLE audit_qrtz_job_details MODIFY COLUMN IS_DURABLE varchar(1) COMMENT '耐用';
escdb-600,audit_qrtz_job_details,IS_NONCONCURRENT,ALTER COLUMN,ALTER TABLE audit_qrtz_job_details MODIFY COLUMN IS_NONCONCURRENT varchar(1) COMMENT '是非电流';
escdb-600,audit_qrtz_job_details,IS_UPDATE_DATA,ALTER COLUMN,ALTER TABLE audit_qrtz_job_details MODIFY COLUMN IS_UPDATE_DATA varchar(1) COMMENT '是更新数据';
escdb-600,audit_qrtz_job_details,JOB_CLASS_NAME,ALTER COLUMN,ALTER TABLE audit_qrtz_job_details MODIFY COLUMN JOB_CLASS_NAME varchar(250) COMMENT '作业类名称';
escdb-600,audit_qrtz_job_details,JOB_DATA,ALTER COLUMN,ALTER TABLE audit_qrtz_job_details MODIFY COLUMN JOB_DATA blob COMMENT '作业数据';
